title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
100 Years of Solitude,Gabriel García Márquez,,,,,,,,,,,,,,,,,,,,,,,,,H
11/22/63,Stephen King,,,,H,,,,,,,,,,,,,,,,,H,,,,
1984,George Orwell,,,,,,H,,,,,,,,,,,,,,,,,,,
84K,Claire North,,,,,,H,,,,,,,,,,,,,,,,,,,
A Brightness Long Ago,Guy Gavriel Kay,,,,H,,,,,,,,,,,,,,,,,,,,,
A Brother's Price,Wen Spencer,,,,,,H,,,,,,,,,,,,,,,H,,,,X
A Canticle for Leibowitz,Walter M Miller Jr,,,,,,,,,,,X,,,,,,,,,,,,,,
A Charm of Magpies,KJ Charles,H,,,,,,,,,,,,,,,,,,,,,,,,
A Child Across the Sky,Jonathan Carroll,,,,,,,,,,,,,,,,,,,,,H,,,,
A Choir of Ill Children,Tom Piccirilli,,,,,,,,,,,,,,,,,,,,,H,,,,
A Choir of Lies,Alexandra Rowland,,,,,,,,,,,,,,,,,,,H,,,,,,
A Chorus of Dragons,Jenn Lyons,H,,,,,,,,,,,,,,,,,,,,,,,,
A Closed and Common Orbit,Becky Chambers,,,,,,X,,,,,,,,,,X,,,,,,,,,
A Companion with Wolves (w/ Sarah Monette),Elizabeth Bear,,,,,,,,,,,,,,,,,,,,,H,,,,
A Conspiracy of Truths,Alexandra Rowland,H,,,,,,X,X,,H,,,,,,,,,,,,,,,
A Country of Ghosts,Margaret Killjoy,H,,,,,,,,,,,,,,,,,,,,,,,,
A Crown for Cold Silver,Alex Marshall,,,,,,,,,,,,,,,,,,,,,H,,,,
A Cup of Normal,Devon Monk,,,,,,,,,,,,,,,,,,,,,H,,,,
A Darkly Beating Heart,Lindsay Smith,,,,,,,,,,,,,,,,,,,X,,,,,,
A Deadly Education,Naomi Novik,,,,,,,X,,,,,,,,,,,,,,,,,,
A Declaration of the Rights of Magicians,H.G. Parry,,,,X,,,,,,H,,X,,,,,,,,,,,,,
A Desolation Called Peace,Arkady Martine,,,,,H,,,,,,,,,,,,,,,,,,,,
A Door into Ocean,Joan Slonczewski,,H,,,,,,,,,,,,,,,,,,,,,,,
A Dowry of Blood,S.T. Gibson,,,,H,,,,,,,,X,,,,,,,,,,,,,
A Drop of Dream,Amy Hopkins,,,,,,,,,,,,,,X,,,,,,,,,,,
A Face Like Glass,Frances Hardinge,,,,,,X,,,,,,,,,,,,,,,H,,,,
A fine and Private place,Peter S Beagle,,,,,,H,,,,,,,,,,,,,,,,,,,
A Fisherman of the Inland Sea,Ursula K. Le Guin,,,,,,,,,,,,,,,,,,,,,H,,,,
A Fistful of Sky,Nina Kiriki Hoffman,,,,,,,,,,,,,,,,,,,,,H,,,,
A Gathering of Ravens,Scott Oden,,,,,,,,X,,,,,,,,,,,,,,,,,
A Head Full of Ghosts,Paul Tremblay,,,,,,,,,,,,,,,,,,,,,H,,,,
A Heart of Blood and Ashes,Milla Vane,,,,,,,,X,,,,,,,,,,,,,,,,,
A History Maker,Alasdair Gray,,,,,,,,,,,,,,,,,,,,,H,,,,
A Hunter Among Wolves,Ben Stava,,,,,,,X,,,,,,X,,,,,,,H,,,,,
A Land Fit For Heroes,Richard K. Morgan,H,,,,,,X,,,,,,,,,,,,,,,,,,
A Little Queermas Carol,Sassafras Lowrey,,,,,,,,,,,,,,,,,,,,,H,,,,
A Madness of Angels,Kate Griffin,,,,,,,,,,,,,,,,,,,H,,,,,,
A Magic Steeped in Poison,Judy I Lin,,,,,,,,,,,,,H,,,,,,,,,,,,
A Magical Inheritance,Krista D. Ball,,,,X,,,,,,,,,,,,,,,,X,,,,,
A Marvellous Light,Freya Marske,,,,X,,,,X,,,,,,,,,,,,,,,,,
A Master of Djinn,P. Djèlí Clark,,,,H,,,,X,,,,,,H,,,,,,,,X,,,
A Matrix Of Angels,Christopher Conlon,,,,,,,,,,,,,,,,,,,,,H,,,,
A Metal Box Floating Between Stars and Other Stories,Jamie Lackey,,,,,,,,,,,,,,,,,,H,,,,,,,
A Midsummer Tempest,Poul Anderson,,,,,,,,,,,,,,,,,,,,,H,,,,
A Monster Calls,Patrick Ness,,,,,,X,,,,,,,,,,,,,,,,,,,
A Murder in Time,Julie McElwain,,,,,,,,,,,,,,,,,X,,,,,,,,
A Natural History of Dragons: A Memoir by Lady Trent,Marie Brennan,,,,,,,,,,,,,,,,,,,,,H,,,,
A Necessary End (w/ F. Paul Wilson),Sarah Pinborough,,,,,,,,,,,,,,,,,,,,,H,,,,
A Necessary End (w/ Sarah Pinborough),F. Paul Wilson,,,,,,,,,,,,,,,,,,,,,H,,,,
A Night in the Lonesome October,Roger Zelazny,,,,,,H,,X,,,,,,,,H,,,,,,,,,
A Pinch of Magic,Michelle Harrison,,,,,,,,,,,,,,,,,,,,,,,,,H
A Practical Guide to Evil,Erraticerrata,H,,,,,,H,,,,,,,,,,,,,,,,,,
A Princess of Roumania (series),Paul Park,,,,,,,,,,,,,,,,,,,,,H,,,,
A Psalm for the Wild Built,Becky Chambers,,,,,,,,,,,,,,,,,,,H,,,,,,
A Red Heart of Memories,Nina Kiriki Hoffman,,,,,,,,,,,,,,,,,,,,,H,,,,
A Robot in the Garden,Deborah Install,,,,,,H,,,,,,,,,,,,,,,,,,,
A Snake Falls to Earth,Darcie Little Badger,,,,,,,,,,,,,,,,,,,,,,H,,,
A Song Below Water,Bethany C. Morrow,,,,,,,,,,,,,,X,,,,,,,,X,,,
A Song of Wraiths and Ruin,Roseanne A. Brown,,,,,,,H,X,,,,,,,H,,,,H,,,X,,,
A Spectral Hue,Craig Laurance Gidney,,,,,,,,,,,,,,,,,,,,,H,,,,
A Star-Reckoner's Lot,Darrell Drake,,,,,,,,X,,,,,,,,,,,,,,,,,
A Strong and Sudden Thaw,R.W. Day,,,,,,,,,,,,,,,,,,,,,H,,,,
A Tale of Stars and Shadow,Lisa Cassidy,,,,,,,,,,,,,,,,,,,,X,,,,,
A Tale of Time City,Dianna Wynne Jones,,,,,,,,,,,,,,,,,X,,,,,,,,
A Taste of Gold and Iron,Alexandra Rowland,,,,,,,,,,,,,,,,,,,H,,,,,,
A Taste Of Honey,Kai Ashante Wilson,H,,,,,,,,,,,,,,H,,,,,,,,,,
A Thousand Beginnings and Endings,Ellen Oh,,,,,,,,,,,,,,,,,,H,,,,,,,
A Thousand Nights,E. K. Johnston,,,,,,,,,,,,,,,,,,,,,H,,,,
A Voyage to Arcturus,David Lindsey,,,,,,H,,,,,,,,,,,,,,,,,,,
A Witness to Life,Terence M. Green,,,,,,,,,,,,,,,,,,,,,H,,,,
A Wizard of Earthsea,Ursula K. Le Guin,,,,,,,,X,,,,,,,,,,,,,,,H,,
A Wizard's Guide to Defensive Baking,T. Kingfisher,,,,,,H,,,,X,,,,,,,,,,,,,,,
A Woman of the Iron People,Eleanor Arnason,,H,,,,,,X,,,,,,,,,,,,,,,,,
